Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

P2         2x2_header_SMD         385mil        570mil        385mil        570mil    446.146mil    468.446mil  T         56.00 2 x 2 header SMD
C24        0402                    93mil        131mil         93mil        131mil         93mil    113.284mil  T         90.00 Ceramic capacitor
C25        0402                   -33mil        131mil        -33mil        131mil        -33mil    113.284mil  T         90.00 Ceramic capacitor
C26        0402                   200mil       -215mil        200mil       -215mil        200mil   -197.284mil  T        270.00 Ceramic capacitor
C27        0402                   200mil       -285mil        200mil       -285mil        200mil   -302.716mil  T         90.00 Ceramic capacitor
C28        0402                   600mil       -225mil        600mil       -225mil    582.284mil       -225mil  B        360.00 Ceramic capacitor
C29        0603               611.835mil    -151.78mil    611.835mil    -151.78mil    582.307mil    -151.78mil  T        360.00 Ceramic capacitor
C30        0402               481.835mil     -11.78mil    481.835mil     -11.78mil    481.835mil    -29.496mil  T         90.00 Ceramic capacitor
C31        0402               436.835mil     -11.78mil    436.835mil     -11.78mil    436.835mil    -29.496mil  T         90.00 Ceramic capacitor
C32        0603                   585mil        -60mil        585mil        -60mil    555.472mil        -60mil  B        360.00 Ceramic capacitor
C33        0402               526.835mil       3.22mil    526.835mil       3.22mil    526.835mil    -14.496mil  T         90.00 Ceramic capacitor
C34        0402                   325mil        -60mil        325mil        -60mil        325mil    -77.716mil  B         90.00 Ceramic capacitor
C35        0402               361.835mil   -396.779mil    361.835mil   -396.779mil    361.835mil   -379.063mil  T        270.00 Ceramic capacitor
C36        0402               294.118mil   -421.779mil    294.118mil   -421.779mil    311.835mil   -421.779mil  T        180.00 Ceramic capacitor
C37        0402                   680mil       -310mil        680mil       -310mil        680mil   -327.716mil  T         90.00 Ceramic capacitor
C38        0402               529.483mil   -453.902mil    529.483mil   -453.902mil      547.2mil   -453.902mil  T        180.00 Ceramic capacitor
C39        0402               381.835mil   -586.779mil    381.835mil   -586.779mil    399.551mil   -586.779mil  T        180.00 Ceramic capacitor
C40        0402               381.835mil   -496.779mil    381.835mil   -496.779mil    399.551mil   -496.779mil  T        180.00 Ceramic capacitor
C41        0402               286.835mil   -646.779mil    286.835mil   -646.779mil    286.835mil   -629.063mil  T        270.00 Ceramic capacitor
C42        0402               191.835mil   -501.779mil    191.835mil   -501.779mil    174.118mil   -501.779mil  T        360.00 Ceramic capacitor
C43        0402               191.835mil   -586.779mil    191.835mil   -586.779mil    209.551mil   -586.779mil  T        180.00 Ceramic capacitor
C44        0402                  -200mil       -430mil       -200mil       -430mil       -200mil   -447.716mil  T         90.00 Ceramic capacitor
C45        0402              -118.165mil   -476.779mil   -118.165mil   -476.779mil   -135.882mil   -476.779mil  T        360.00 Ceramic capacitor
C46        0402                  -465mil       -330mil       -465mil       -330mil       -465mil   -347.717mil  B         90.00 Ceramic capacitor
C47        0402                    56mil       -422mil         56mil       -422mil     73.716mil       -422mil  T        180.00 Ceramic capacitor
D1         0402_-_DIODE            60mil        525mil         60mil        525mil     42.283mil        525mil  B        360.00 LED, Green     
D2         0402_-_DIODE          -166mil        108mil       -166mil        108mil       -166mil    125.716mil  T        270.00 LED, Red       
D3         0402_-_DIODE          -209mil        108mil       -209mil        108mil       -209mil    125.716mil  T        270.00 LED, Green     
FB1        0402                  -295mil        540mil       -295mil        540mil       -295mil    557.716mil  T        270.00 Ferrite Bead   
