Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

C40        0402                  -125mil       -445mil       -125mil       -445mil   -142.716mil       -445mil  T        360.00 Ceramic capacitor
C39        0402                   195mil       -295mil        195mil       -295mil    212.716mil       -295mil  T        180.00 Ceramic capacitor
C38        0402                   200mil       -515mil        200mil       -515mil        200mil   -497.284mil  T        270.00 Ceramic capacitor
C37        0402                   235mil       -355mil        235mil       -355mil    252.716mil       -355mil  T        180.00 Ceramic capacitor
C36        0402                   260mil       -480mil        260mil       -480mil        260mil   -497.716mil  T         90.00 Ceramic capacitor
C35        0402                  -390mil        645mil       -390mil        645mil   -407.716mil        645mil  B        360.00 Ceramic capacitor
C32        0402               -37.654mil   -285.654mil    -37.654mil   -285.654mil     -55.37mil   -285.654mil  T        360.00 Ceramic capacitor
C31        0402               -37.654mil   -241.654mil    -37.654mil   -241.654mil     -55.37mil   -241.654mil  T        360.00 Ceramic capacitor
C30        0402                  -565mil       -320mil       -565mil       -320mil   -547.284mil       -320mil  B        180.00 Ceramic capacitor
C29        0402                  -223mil     82.284mil       -223mil     82.284mil   -205.284mil     82.284mil  T        180.00 Ceramic capacitor
C28        0402                  -152mil     82.284mil       -152mil     82.284mil   -169.716mil     82.284mil  T        360.00 Ceramic capacitor
C27        0402                   122mil        429mil        122mil        429mil        122mil    446.716mil  B        270.00 Ceramic capacitor
C25        0402                   117mil        634mil        117mil        634mil        117mil    616.284mil  B         90.00 Ceramic capacitor
C24        0603_-_Polar_Marking        172mil        414mil        172mil        414mil        172mil    443.528mil  B        270.00 Tantalum capacitor
C23        0402                  -180mil        330mil       -180mil        330mil       -180mil    347.716mil  B        270.00 Ceramic capacitor
C22        0402                   320mil       -290mil        320mil       -290mil        320mil   -272.284mil  T        270.00 Ceramic capacitor
C21        0402                   125mil         65mil        125mil         65mil        125mil     47.283mil  T         90.00 Ceramic capacitor
